benchmark_name,arch,seed_num,runtime(s),memory_usage(mb)
9symml,2D_arch,1,5.91,154.7
9symml,2D_arch,2,6.18,154.7
9symml,2D_arch,3,6.19,154.7
9symml,2D_arch,4,6.08,154.7
9symml,2D_arch,5,6.13,154.7
9symml,Offset_arch,1,6.24,130.8
9symml,Offset_arch,2,6.05,130.8
9symml,Offset_arch,3,6.23,130.8
9symml,Offset_arch,4,6.12,130.8
9symml,Offset_arch,5,5.83,130.8
9symml,All_top_arch,1,6.30,130.8
9symml,All_top_arch,2,6.26,130.8
9symml,All_top_arch,3,6.17,130.8
9symml,All_top_arch,4,6.09,130.8
9symml,All_top_arch,5,6.15,130.8
9symml,Iso-Edge_arch,1,5.94,130.8
9symml,Iso-Edge_arch,2,5.83,130.8
9symml,Iso-Edge_arch,3,6.01,130.8
9symml,Iso-Edge_arch,4,6.14,130.8
9symml,Iso-Edge_arch,5,5.97,130.8
9symml,Mix-Edge_arch,1,6.36,130.8
9symml,Mix-Edge_arch,2,5.98,130.8
9symml,Mix-Edge_arch,3,6.30,130.8
9symml,Mix-Edge_arch,4,6.25,130.8
9symml,Mix-Edge_arch,5,6.17,130.8
9symml,Aligned_arch,1,87.05,130.8
9symml,Aligned_arch,2,10.02,130.8
9symml,Aligned_arch,3,19.70,130.8
9symml,Aligned_arch,4,15.79,130.8
9symml,Aligned_arch,5,11.81,130.8
9symml,Striped_arch,1,6.13,130.8
9symml,Striped_arch,2,6.14,130.8
9symml,Striped_arch,3,6.13,130.8
9symml,Striped_arch,4,6.22,130.8
9symml,Striped_arch,5,6.14,130.8
9symml,Border_arch,1,6.30,131.5
9symml,Border_arch,2,6.22,131.5
9symml,Border_arch,3,6.15,131.5
9symml,Border_arch,4,6.40,131.5
9symml,Border_arch,5,6.12,131.5
C1355,2D_arch,1,5.98,154.7
C1355,2D_arch,2,6.23,154.7
C1355,2D_arch,3,6.23,154.7
C1355,2D_arch,4,6.19,154.7
C1355,2D_arch,5,6.07,154.7
C1355,Offset_arch,1,6.17,130.8
C1355,Offset_arch,2,6.29,130.8
C1355,Offset_arch,3,6.17,130.8
C1355,Offset_arch,4,6.21,130.8
C1355,Offset_arch,5,6.17,130.8
C1355,All_top_arch,1,6.17,130.8
C1355,All_top_arch,2,6.21,130.8
C1355,All_top_arch,3,6.07,130.8
C1355,All_top_arch,4,6.29,130.8
C1355,All_top_arch,5,5.98,130.8
C1355,Iso-Edge_arch,1,6.24,130.8
C1355,Iso-Edge_arch,2,6.39,130.8
C1355,Iso-Edge_arch,3,5.87,130.8
C1355,Iso-Edge_arch,4,6.40,130.8
C1355,Iso-Edge_arch,5,6.01,130.8
C1355,Mix-Edge_arch,1,6.34,130.8
C1355,Mix-Edge_arch,2,6.09,130.8
C1355,Mix-Edge_arch,3,6.30,130.8
C1355,Mix-Edge_arch,4,6.24,130.8
C1355,Mix-Edge_arch,5,6.41,130.8
C1355,Aligned_arch,1,6.87,130.8
C1355,Aligned_arch,2,10.36,130.8
C1355,Aligned_arch,3,23.75,130.8
C1355,Aligned_arch,4,18.60,130.8
C1355,Aligned_arch,5,11.97,130.8
C1355,Striped_arch,1,5.99,130.8
C1355,Striped_arch,2,6.32,130.8
C1355,Striped_arch,3,6.21,130.8
C1355,Striped_arch,4,6.33,130.8
C1355,Striped_arch,5,6.24,130.8
C1355,Border_arch,1,6.32,131.5
C1355,Border_arch,2,6.32,131.5
C1355,Border_arch,3,6.18,131.5
C1355,Border_arch,4,6.23,131.5
C1355,Border_arch,5,6.25,131.5
C17,2D_arch,1,5.82,154.7
C17,2D_arch,2,6.11,154.7
C17,2D_arch,3,6.00,154.7
C17,2D_arch,4,6.04,154.7
C17,2D_arch,5,5.99,154.7
C17,Offset_arch,1,6.06,130.8
C17,Offset_arch,2,6.08,130.8
C17,Offset_arch,3,6.04,130.8
C17,Offset_arch,4,6.08,130.8
C17,Offset_arch,5,6.03,130.8
C17,All_top_arch,1,6.16,128.8
C17,All_top_arch,2,5.99,128.8
C17,All_top_arch,3,6.07,128.8
C17,All_top_arch,4,6.26,128.8
C17,All_top_arch,5,5.97,128.8
C17,Iso-Edge_arch,1,5.59,128.8
C17,Iso-Edge_arch,2,5.92,128.8
C17,Iso-Edge_arch,3,5.79,128.8
C17,Iso-Edge_arch,4,6.33,128.8
C17,Iso-Edge_arch,5,5.90,128.8
C17,Mix-Edge_arch,1,6.18,130.8
C17,Mix-Edge_arch,2,6.26,130.8
C17,Mix-Edge_arch,3,6.12,130.8
C17,Mix-Edge_arch,4,6.12,130.8
C17,Mix-Edge_arch,5,6.26,130.8
C17,Aligned_arch,1,8.94,130.8
C17,Aligned_arch,2,8.13,130.8
