architecture,benchmark,benchmark_key,avg_cpd,avg_wl,successful_seeds,failed_seeds
2D_arch,9symml,9symml,3.48577,196.8,5,0
Offset_arch,9symml,9symml,3.685812,238.0,5,0
All_top_arch,9symml,9symml,3.8322139999999996,246.6,5,0
Iso-Edge_arch,9symml,9symml,3.7601420000000005,223.4,5,0
Mix-Edge_arch,9symml,9symml,3.757282,216.8,5,0
Aligned_arch,9symml,9symml,3.7973079999999997,229.4,5,0
Striped_arch,9symml,9symml,3.7363519999999992,198.4,5,0
Border_arch,9symml,9symml,3.74758,210.2,5,0
2D_arch,C1355,C1355,4.714672,1098.6,5,0
Offset_arch,C1355,C1355,4.884646,1248.4,5,0
All_top_arch,C1355,C1355,4.269078,894.2,5,0
Iso-Edge_arch,C1355,C1355,4.602766,930.0,5,0
Mix-Edge_arch,C1355,C1355,4.43989,906.8,5,0
Aligned_arch,C1355,C1355,4.427741999999999,1024.0,5,0
Striped_arch,C1355,C1355,4.75306,1130.8,5,0
Border_arch,C1355,C1355,4.679183999999999,1196.8,5,0
2D_arch,C17,C17,1.4795960000000001,50.2,5,0
Offset_arch,C17,C17,2.1419240000000004,89.6,5,0
All_top_arch,C17,C17,2.652532,95.8,5,0
Iso-Edge_arch,C17,C17,2.214726,83.4,5,0
Mix-Edge_arch,C17,C17,2.214726,83.6,5,0
Aligned_arch,C17,C17,2.3776699999999997,91.0,5,0
Striped_arch,C17,C17,2.148568,67.4,5,0
Border_arch,C17,C17,2.6765180000000006,104.8,5,0
2D_arch,C1908,C1908,5.4626980000000005,1023.8,5,0
Offset_arch,C1908,C1908,5.170622,892.8,5,0
All_top_arch,C1908,C1908,5.49395,1037.4,5,0
Iso-Edge_arch,C1908,C1908,5.604646,1067.0,5,0
Mix-Edge_arch,C1908,C1908,5.529588,1026.2,5,0
Aligned_arch,C1908,C1908,5.1935720000000005,907.4,5,0
Striped_arch,C1908,C1908,5.981482,1249.0,5,0
Border_arch,C1908,C1908,5.23074,1000.2,5,0
2D_arch,C2670,C2670,4.933202,2584.8,5,0
Offset_arch,C2670,C2670,4.940720000000001,2607.0,5,0
All_top_arch,C2670,C2670,4.556566,2315.8,5,0
Iso-Edge_arch,C2670,C2670,4.915595999999999,2820.4,5,0
Mix-Edge_arch,C2670,C2670,4.9666559999999995,2571.2,5,0
Aligned_arch,C2670,C2670,4.9725719999999995,2936.4,5,0
Striped_arch,C2670,C2670,4.500985,2412.5,4,1
Border_arch,C2670,C2670,4.3630260000000005,2312.2,5,0
2D_arch,C3540,C3540,7.155088000000001,2939.0,5,0
Offset_arch,C3540,C3540,7.054754000000001,2863.8,5,0
All_top_arch,C3540,C3540,7.231678,3015.0,5,0
Iso-Edge_arch,C3540,C3540,7.389134,3062.6,5,0
Mix-Edge_arch,C3540,C3540,7.5549360000000005,3022.4,5,0
Aligned_arch,C3540,C3540,7.060560000000001,2858.2,5,0
Striped_arch,C3540,C3540,7.53175,2923.4,5,0
Border_arch,C3540,C3540,7.007890000000001,2709.8,5,0
2D_arch,C432,C432,6.982054,511.2,5,0
Offset_arch,C432,C432,7.15818,630.0,5,0
All_top_arch,C432,C432,7.123274,566.6,5,0
Iso-Edge_arch,C432,C432,7.316542,577.6,5,0
Mix-Edge_arch,C432,C432,7.0644480000000005,569.0,5,0
Aligned_arch,C432,C432,7.377278000000001,673.4,5,0
Striped_arch,C432,C432,7.259976,592.0,5,0
Border_arch,C432,C432,7.254062,740.8,5,0
2D_arch,C499,C499,4.7207859999999995,1108.6,5,0
Offset_arch,C499,C499,4.619306,1230.4,5,0
All_top_arch,C499,C499,4.469118,1195.4,5,0
Iso-Edge_arch,C499,C499,4.711618,1281.4,5,0
Mix-Edge_arch,C499,C499,4.66628,1231.8,5,0
Aligned_arch,C499,C499,4.488518,1184.0,5,0
Striped_arch,C499,C499,4.604596,1089.6,5,0
Border_arch,C499,C499,4.819414,1289.6,5,0
2D_arch,C5315,C5315,6.749567999999999,5709.4,5,0
Offset_arch,C5315,C5315,6.244458,4992.4,5,0
All_top_arch,C5315,C5315,6.384148,4841.8,5,0
Iso-Edge_arch,C5315,C5315,6.3553939999999995,5079.0,5,0
Mix-Edge_arch,C5315,C5315,6.436632,4814.6,5,0
Aligned_arch,C5315,C5315,6.4564580000000005,4933.6,5,0
Striped_arch,C5315,C5315,5.885366,4559.4,5,0
Border_arch,C5315,C5315,6.441336,4768.0,5,0
2D_arch,C6288,C6288,13.038139999999999,4862.2,5,0
Offset_arch,C6288,C6288,13.02748,4843.8,5,0
All_top_arch,C6288,C6288,13.140500000000003,5133.6,5,0
Iso-Edge_arch,C6288,C6288,13.228919999999999,4999.2,5,0
Mix-Edge_arch,C6288,C6288,12.980599999999999,4762.4,5,0
Aligned_arch,C6288,C6288,12.96426,4882.6,5,0
Striped_arch,C6288,C6288,12.99054,4937.4,5,0
Border_arch,C6288,C6288,12.84994,4581.2,5,0
2D_arch,C7552,C7552,7.531710000000001,5715.2,5,0
Offset_arch,C7552,C7552,6.646281999999999,4781.4,5,0
All_top_arch,C7552,C7552,6.790379999999999,4664.4,5,0
Iso-Edge_arch,C7552,C7552,6.7309339999999995,4849.4,5,0
Mix-Edge_arch,C7552,C7552,6.327218,4739.2,5,0
Aligned_arch,C7552,C7552,6.902781999999999,4764.2,5,0
Striped_arch,C7552,C7552,6.754849999999999,5019.2,5,0
Border_arch,C7552,C7552,6.302370000000001,4557.75,4,1
2D_arch,C880,C880,5.01816,1090.8,5,0
Offset_arch,C880,C880,5.06479,1153.6,5,0
All_top_arch,C880,C880,5.011989999999999,1049.0,5,0
Iso-Edge_arch,C880,C880,4.99095,1019.8,5,0
Mix-Edge_arch,C880,C880,5.082916,1132.0,5,0
Aligned_arch,C880,C880,4.9597,1145.2,5,0
Striped_arch,C880,C880,5.319138000000001,1190.6,5,0
Border_arch,C880,C880,5.364,1336.0,5,0
2D_arch,PIC16F84,PIC16F84,4.82249,7609.0,5,0
Offset_arch,PIC16F84,PIC16F84,4.77487,6976.4,5,0
All_top_arch,PIC16F84,PIC16F84,4.692454000000001,7093.4,5,0
